,ids,labels,parents,values
914,Partly Cloudy-Killing,Killing,Chicago-Partly Cloudy,552
915,Partly Cloudy-Verbal,Verbal,Chicago-Partly Cloudy,1335
916,Partly Cloudy-Kidnapping,Kidnapping,Chicago-Partly Cloudy,128
917,Partly Cloudy-Arson,Arson,Chicago-Partly Cloudy,354
918,Partly Cloudy-Sexual,Sexual,Chicago-Partly Cloudy,655
919,Partly Cloudy-Interference,Interference,Chicago-Partly Cloudy,932
920,Overcast-Property,Property,Chicago-Overcast,21057
921,Overcast-Fraud,Fraud,Chicago-Overcast,13299
922,Overcast-Violence,Violence,Chicago-Overcast,49365
923,Overcast-Burglary,Burglary,Chicago-Overcast,55899
924,Overcast-B&E,B&E,Chicago-Overcast,4920
925,Overcast-Violation,Violation,Chicago-Overcast,3187
926,Overcast-Drugs,Drugs,Chicago-Overcast,9862
927,Overcast-Robbery,Robbery,Chicago-Overcast,8384
928,Overcast-Auto-Theft,Auto-Theft,Chicago-Overcast,8118
929,Overcast-Other,Other,Chicago-Overcast,15261
930,Overcast-Killing,Killing,Chicago-Overcast,434
931,Overcast-Verbal,Verbal,Chicago-Overcast,1200
932,Overcast-Kidnapping,Kidnapping,Chicago-Overcast,157
933,Overcast-Arson,Arson,Chicago-Overcast,299
934,Overcast-Sexual,Sexual,Chicago-Overcast,628
935,Overcast-Interference,Interference,Chicago-Overcast,787
936,Light Rain-Property,Property,Chicago-Light Rain,2597
937,Light Rain-Fraud,Fraud,Chicago-Light Rain,1728
938,Light Rain-Violence,Violence,Chicago-Light Rain,6035
939,Light Rain-Burglary,Burglary,Chicago-Light Rain,7039
940,Light Rain-B&E,B&E,Chicago-Light Rain,594
941,Light Rain-Violation,Violation,Chicago-Light Rain,328
942,Light Rain-Drugs,Drugs,Chicago-Light Rain,1171
943,Light Rain-Robbery,Robbery,Chicago-Light Rain,1027
944,Light Rain-Auto-Theft,Auto-Theft,Chicago-Light Rain,938
945,Light Rain-Other,Other,Chicago-Light Rain,1919
946,Light Rain-Killing,Killing,Chicago-Light Rain,55
947,Light Rain-Verbal,Verbal,Chicago-Light Rain,135
948,Light Rain-Kidnapping,Kidnapping,Chicago-Light Rain,20
949,Light Rain-Arson,Arson,Chicago-Light Rain,38
950,Light Rain-Sexual,Sexual,Chicago-Light Rain,84
951,Light Rain-Interference,Interference,Chicago-Light Rain,90
952,Possible Drizzle-Property,Property,Chicago-Possible Drizzle,2438
953,Possible Drizzle-Fraud,Fraud,Chicago-Possible Drizzle,1576
954,Possible Drizzle-Violence,Violence,Chicago-Possible Drizzle,5637
955,Possible Drizzle-Burglary,Burglary,Chicago-Possible Drizzle,6418
956,Possible Drizzle-B&E,B&E,Chicago-Possible Drizzle,546
957,Possible Drizzle-Violation,Violation,Chicago-Possible Drizzle,340
958,Possible Drizzle-Drugs,Drugs,Chicago-Possible Drizzle,1165
959,Possible Drizzle-Robbery,Robbery,Chicago-Possible Drizzle,921
960,Possible Drizzle-Auto-Theft,Auto-Theft,Chicago-Possible Drizzle,876
961,Possible Drizzle-Other,Other,Chicago-Possible Drizzle,1742
962,Possible Drizzle-Killing,Killing,Chicago-Possible Drizzle,49
963,Possible Drizzle-Verbal,Verbal,Chicago-Possible Drizzle,136
964,Possible Drizzle-Kidnapping,Kidnapping,Chicago-Possible Drizzle,14
965,Possible Drizzle-Arson,Arson,Chicago-Possible Drizzle,25
966,Possible Drizzle-Sexual,Sexual,Chicago-Possible Drizzle,65
967,Possible Drizzle-Interference,Interference,Chicago-Possible Drizzle,86
968,Rain-Property,Property,Chicago-Rain,685
969,Rain-Fraud,Fraud,Chicago-Rain,466
970,Rain-Violence,Violence,Chicago-Rain,1683
971,Rain-Burglary,Burglary,Chicago-Rain,1877
972,Rain-B&E,B&E,Chicago-Rain,143
973,Rain-Violation,Violation,Chicago-Rain,89
974,Rain-Drugs,Drugs,Chicago-Rain,276
975,Rain-Robbery,Robbery,Chicago-Rain,248
976,Rain-Auto-Theft,Auto-Theft,Chicago-Rain,263
977,Rain-Other,Other,Chicago-Rain,532
978,Rain-Killing,Killing,Chicago-Rain,10
979,Rain-Verbal,Verbal,Chicago-Rain,32
980,Rain-Kidnapping,Kidnapping,Chicago-Rain,8
981,Rain-Arson,Arson,Chicago-Rain,8
982,Rain-Sexual,Sexual,Chicago-Rain,19
983,Rain-Interference,Interference,Chicago-Rain,25
984,Mostly Cloudy-Property,Property,Chicago-Mostly Cloudy,23837
985,Mostly Cloudy-Fraud,Fraud,Chicago-Mostly Cloudy,12705
986,Mostly Cloudy-Violence,Violence,Chicago-Mostly Cloudy,56687
987,Mostly Cloudy-Burglary,Burglary,Chicago-Mostly Cloudy,59711
988,Mostly Cloudy-B&E,B&E,Chicago-Mostly Cloudy,5299
989,Mostly Cloudy-Violation,Violation,Chicago-Mostly Cloudy,4163
990,Mostly Cloudy-Drugs,Drugs,Chicago-Mostly Cloudy,10448
991,Mostly Cloudy-Robbery,Robbery,Chicago-Mostly Cloudy,8999
992,Mostly Cloudy-Auto-Theft,Auto-Theft,Chicago-Mostly Cloudy,8695
993,Mostly Cloudy-Other,Other,Chicago-Mostly Cloudy,16289
994,Mostly Cloudy-Killing,Killing,Chicago-Mostly Cloudy,558
995,Mostly Cloudy-Verbal,Verbal,Chicago-Mostly Cloudy,1409
996,Mostly Cloudy-Kidnapping,Kidnapping,Chicago-Mostly Cloudy,149
997,Mostly Cloudy-Arson,Arson,Chicago-Mostly Cloudy,360
998,Mostly Cloudy-Sexual,Sexual,Chicago-Mostly Cloudy,682
999,Mostly Cloudy-Interference,Interference,Chicago-Mostly Cloudy,944
1000,Light Sleet-Property,Property,Chicago-Light Sleet,34
1001,Light Sleet-Fraud,Fraud,Chicago-Light Sleet,13
1002,Light Sleet-Violence,Violence,Chicago-Light Sleet,99
1003,Light Sleet-Burglary,Burglary,Chicago-Light Sleet,83
1004,Light Sleet-B&E,B&E,Chicago-Light Sleet,8
1005,Light Sleet-Violation,Violation,Chicago-Light Sleet,3
1006,Light Sleet-Drugs,Drugs,Chicago-Light Sleet,21
1007,Light Sleet-Robbery,Robbery,Chicago-Light Sleet,18
1008,Light Sleet-Auto-Theft,Auto-Theft,Chicago-Light Sleet,13
1009,Light Sleet-Other,Other,Chicago-Light Sleet,31
1010,Light Sleet-Killing,Killing,Chicago-Light Sleet,1
1011,Light Sleet-Verbal,Verbal,Chicago-Light Sleet,1
1012,Light Sleet-Kidnapping,,Chicago-Light Sleet,0
1013,Light Sleet-Arson,Arson,Chicago-Light Sleet,1
1014,Light Sleet-Sexual,,Chicago-Light Sleet,0
1015,Light Sleet-Interference,Interference,Chicago-Light Sleet,5
1016,Drizzle-Property,Property,Chicago-Drizzle,996
1017,Drizzle-Fraud,Fraud,Chicago-Drizzle,628
1018,Drizzle-Violence,Violence,Chicago-Drizzle,2320
1019,Drizzle-Burglary,Burglary,Chicago-Drizzle,2568
1020,Drizzle-B&E,B&E,Chicago-Drizzle,235
1021,Drizzle-Violation,Violation,Chicago-Drizzle,119
1022,Drizzle-Drugs,Drugs,Chicago-Drizzle,441
1023,Drizzle-Robbery,Robbery,Chicago-Drizzle,391
1024,Drizzle-Auto-Theft,Auto-Theft,Chicago-Drizzle,388
1025,Drizzle-Other,Other,Chicago-Drizzle,700
1026,Drizzle-Killing,Killing,Chicago-Drizzle,38
1027,Drizzle-Verbal,Verbal,Chicago-Drizzle,70
1028,Drizzle-Kidnapping,Kidnapping,Chicago-Drizzle,8
1029,Drizzle-Arson,Arson,Chicago-Drizzle,18
1030,Drizzle-Sexual,Sexual,Chicago-Drizzle,26
1031,Drizzle-Interference,Interference,Chicago-Drizzle,29
1032,Foggy-Property,Property,Chicago-Foggy,1119
1033,Foggy-Fraud,Fraud,Chicago-Foggy,861
1034,Foggy-Violence,Violence,Chicago-Foggy,2955
1035,Foggy-Burglary,Burglary,Chicago-Foggy,3297
1036,Foggy-B&E,B&E,Chicago-Foggy,301
1037,Foggy-Violation,Violation,Chicago-Foggy,141
1038,Foggy-Drugs,Drugs,Chicago-Foggy,570
1039,Foggy-Robbery,Robbery,Chicago-Foggy,463
1040,Foggy-Auto-Theft,Auto-Theft,Chicago-Foggy,464
1041,Foggy-Other,Other,Chicago-Foggy,926
1042,Foggy-Killing,Killing,Chicago-Foggy,21
1043,Foggy-Verbal,Verbal,Chicago-Foggy,77
1044,Foggy-Kidnapping,Kidnapping,Chicago-Foggy,5
1045,Foggy-Arson,Arson,Chicago-Foggy,15
1046,Foggy-Sexual,Sexual,Chicago-Foggy,27
1047,Foggy-Interference,Interference,Chicago-Foggy,32
1048,Possible Flurries-Property,Property,Chicago-Possible Flurries,327
1049,Possible Flurries-Fraud,Fraud,Chicago-Possible Flurries,165
1050,Possible Flurries-Violence,Violence,Chicago-Possible Flurries,768
1051,Possible Flurries-Burglary,Burglary,Chicago-Possible Flurries,899
1052,Possible Flurries-B&E,B&E,Chicago-Possible Flurries,97
1053,Possible Flurries-Violation,Violation,Chicago-Possible Flurries,48
1054,Possible Flurries-Drugs,Drugs,Chicago-Possible Flurries,244
1055,Possible Flurries-Robbery,Robbery,Chicago-Possible Flurries,124
1056,Possible Flurries-Auto-Theft,Auto-Theft,Chicago-Possible Flurries,132
1057,Possible Flurries-Other,Other,Chicago-Possible Flurries,270
1058,Possible Flurries-Killing,Killing,Chicago-Possible Flurries,5
1059,Possible Flurries-Verbal,Verbal,Chicago-Possible Flurries,21
1060,Possible Flurries-Kidnapping,,Chicago-Possible Flurries,0
1061,Possible Flurries-Arson,Arson,Chicago-Possible Flurries,2
1062,Possible Flurries-Sexual,Sexual,Chicago-Possible Flurries,11
1063,Possible Flurries-Interference,Interference,Chicago-Possible Flurries,15
1064,Possible Light Rain-Property,Property,Chicago-Possible Light Rain,295
1065,Possible Light Rain-Fraud,Fraud,Chicago-Possible Light Rain,166
1066,Possible Light Rain-Violence,Violence,Chicago-Possible Light Rain,776
1067,Possible Light Rain-Burglary,Burglary,Chicago-Possible Light Rain,764
1068,Possible Light Rain-B&E,B&E,Chicago-Possible Light Rain,46
1069,Possible Light Rain-Violation,Violation,Chicago-Possible Light Rain,35
1070,Possible Light Rain-Drugs,Drugs,Chicago-Possible Light Rain,116
1071,Possible Light Rain-Robbery,Robbery,Chicago-Possible Light Rain,126
1072,Possible Light Rain-Auto-Theft,Auto-Theft,Chicago-Possible Light Rain,111
1073,Possible Light Rain-Other,Other,Chicago-Possible Light Rain,206
1074,Possible Light Rain-Killing,Killing,Chicago-Possible Light Rain,4
1075,Possible Light Rain-Verbal,Verbal,Chicago-Possible Light Rain,14
1076,Possible Light Rain-Kidnapping,,Chicago-Possible Light Rain,0
1077,Possible Light Rain-Arson,Arson,Chicago-Possible Light Rain,3
1078,Possible Light Rain-Sexual,Sexual,Chicago-Possible Light Rain,10
1079,Possible Light Rain-Interference,Interference,Chicago-Possible Light Rain,9
1080,Light Snow and Windy-Property,Property,Chicago-Light Snow and Windy,3
1081,Light Snow and Windy-Fraud,Fraud,Chicago-Light Snow and Windy,10
1082,Light Snow and Windy-Violence,Violence,Chicago-Light Snow and Windy,14
1083,Light Snow and Windy-Burglary,Burglary,Chicago-Light Snow and Windy,10
1084,Light Snow and Windy-B&E,B&E,Chicago-Light Snow and Windy,1
1085,Light Snow and Windy-Violation,,Chicago-Light Snow and Windy,0
1086,Light Snow and Windy-Drugs,Drugs,Chicago-Light Snow and Windy,1
1087,Light Snow and Windy-Robbery,Robbery,Chicago-Light Snow and Windy,3
1088,Light Snow and Windy-Auto-Theft,,Chicago-Light Snow and Windy,0
1089,Light Snow and Windy-Other,Other,Chicago-Light Snow and Windy,4
1090,Light Snow and Windy-Killing,,Chicago-Light Snow and Windy,0
1091,Light Snow and Windy-Verbal,,Chicago-Light Snow and Windy,0
1092,Light Snow and Windy-Kidnapping,,Chicago-Light Snow and Windy,0
1093,Light Snow and Windy-Arson,,Chicago-Light Snow and Windy,0
1094,Light Snow and Windy-Sexual,,Chicago-Light Snow and Windy,0
1095,Light Snow and Windy-Interference,,Chicago-Light Snow and Windy,0
1096,Light Snow-Property,Property,Chicago-Light Snow,40
1097,Light Snow-Fraud,Fraud,Chicago-Light Snow,14
1098,Light Snow-Violence,Violence,Chicago-Light Snow,87
1099,Light Snow-Burglary,Burglary,Chicago-Light Snow,119
1100,Light Snow-B&E,B&E,Chicago-Light Snow,4
1101,Light Snow-Violation,Violation,Chicago-Light Snow,4
1102,Light Snow-Drugs,Drugs,Chicago-Light Snow,25
1103,Light Snow-Robbery,Robbery,Chicago-Light Snow,27
1104,Light Snow-Auto-Theft,Auto-Theft,Chicago-Light Snow,23
1105,Light Snow-Other,Other,Chicago-Light Snow,26
1106,Light Snow-Killing,,Chicago-Light Snow,0
1107,Light Snow-Verbal,Verbal,Chicago-Light Snow,2
1108,Light Snow-Kidnapping,Kidnapping,Chicago-Light Snow,1
1109,Light Snow-Arson,,Chicago-Light Snow,0
1110,Light Snow-Sexual,,Chicago-Light Snow,0
1111,Light Snow-Interference,Interference,Chicago-Light Snow,2
1112,Flurries-Property,Property,Chicago-Flurries,18
1113,Flurries-Fraud,Fraud,Chicago-Flurries,19
1114,Flurries-Violence,Violence,Chicago-Flurries,55
1115,Flurries-Burglary,Burglary,Chicago-Flurries,80
1116,Flurries-B&E,B&E,Chicago-Flurries,11
1117,Flurries-Violation,,Chicago-Flurries,0
1118,Flurries-Drugs,Drugs,Chicago-Flurries,14
1119,Flurries-Robbery,Robbery,Chicago-Flurries,12
1120,Flurries-Auto-Theft,Auto-Theft,Chicago-Flurries,10
1121,Flurries-Other,Other,Chicago-Flurries,15
1122,Flurries-Killing,,Chicago-Flurries,0
1123,Flurries-Verbal,Verbal,Chicago-Flurries,1
1124,Flurries-Kidnapping,Kidnapping,Chicago-Flurries,1
1125,Flurries-Arson,,Chicago-Flurries,0
1126,Flurries-Sexual,Sexual,Chicago-Flurries,2
1127,Flurries-Interference,Interference,Chicago-Flurries,1
1128,Possible Light Sleet-Property,Property,Chicago-Possible Light Sleet,65
1129,Possible Light Sleet-Fraud,Fraud,Chicago-Possible Light Sleet,52
1130,Possible Light Sleet-Violence,Violence,Chicago-Possible Light Sleet,158
1131,Possible Light Sleet-Burglary,Burglary,Chicago-Possible Light Sleet,159
1132,Possible Light Sleet-B&E,B&E,Chicago-Possible Light Sleet,16
1133,Possible Light Sleet-Violation,Violation,Chicago-Possible Light Sleet,9
1134,Possible Light Sleet-Drugs,Drugs,Chicago-Possible Light Sleet,38
1135,Possible Light Sleet-Robbery,Robbery,Chicago-Possible Light Sleet,24
1136,Possible Light Sleet-Auto-Theft,Auto-Theft,Chicago-Possible Light Sleet,24
1137,Possible Light Sleet-Other,Other,Chicago-Possible Light Sleet,42
1138,Possible Light Sleet-Killing,Killing,Chicago-Possible Light Sleet,1
1139,Possible Light Sleet-Verbal,Verbal,Chicago-Possible Light Sleet,5
1140,Possible Light Sleet-Kidnapping,,Chicago-Possible Light Sleet,0
1141,Possible Light Sleet-Arson,Arson,Chicago-Possible Light Sleet,2
1142,Possible Light Sleet-Sexual,Sexual,Chicago-Possible Light Sleet,2
1143,Possible Light Sleet-Interference,Interference,Chicago-Possible Light Sleet,3
1144,Possible Drizzle and Windy-Property,Property,Chicago-Possible Drizzle and Windy,3
1145,Possible Drizzle and Windy-Fraud,Fraud,Chicago-Possible Drizzle and Windy,3
1146,Possible Drizzle and Windy-Violence,Violence,Chicago-Possible Drizzle and Windy,11
1147,Possible Drizzle and Windy-Burglary,Burglary,Chicago-Possible Drizzle and Windy,10
1148,Possible Drizzle and Windy-B&E,B&E,Chicago-Possible Drizzle and Windy,2
1149,Possible Drizzle and Windy-Violation,,Chicago-Possible Drizzle and Windy,0
1150,Possible Drizzle and Windy-Drugs,Drugs,Chicago-Possible Drizzle and Windy,1
1151,Possible Drizzle and Windy-Robbery,Robbery,Chicago-Possible Drizzle and Windy,2
1152,Possible Drizzle and Windy-Auto-Theft,Auto-Theft,Chicago-Possible Drizzle and Windy,2
1153,Possible Drizzle and Windy-Other,,Chicago-Possible Drizzle and Windy,0
1154,Possible Drizzle and Windy-Killing,,Chicago-Possible Drizzle and Windy,0
1155,Possible Drizzle and Windy-Verbal,,Chicago-Possible Drizzle and Windy,0
1156,Possible Drizzle and Windy-Kidnapping,,Chicago-Possible Drizzle and Windy,0
1157,Possible Drizzle and Windy-Arson,,Chicago-Possible Drizzle and Windy,0
1158,Possible Drizzle and Windy-Sexual,,Chicago-Possible Drizzle and Windy,0
1159,Possible Drizzle and Windy-Interference,,Chicago-Possible Drizzle and Windy,0
1160,Humid and Partly Cloudy-Property,Property,Chicago-Humid and Partly Cloudy,503
1161,Humid and Partly Cloudy-Fraud,Fraud,Chicago-Humid and Partly Cloudy,275
1162,Humid and Partly Cloudy-Violence,Violence,Chicago-Humid and Partly Cloudy,1336
1163,Humid and Partly Cloudy-Burglary,Burglary,Chicago-Humid and Partly Cloudy,1291
1164,Humid and Partly Cloudy-B&E,B&E,Chicago-Humid and Partly Cloudy,110
1165,Humid and Partly Cloudy-Violation,Violation,Chicago-Humid and Partly Cloudy,80
1166,Humid and Partly Cloudy-Drugs,Drugs,Chicago-Humid and Partly Cloudy,168
1167,Humid and Partly Cloudy-Robbery,Robbery,Chicago-Humid and Partly Cloudy,167
1168,Humid and Partly Cloudy-Auto-Theft,Auto-Theft,Chicago-Humid and Partly Cloudy,146
1169,Humid and Partly Cloudy-Other,Other,Chicago-Humid and Partly Cloudy,346
1170,Humid and Partly Cloudy-Killing,Killing,Chicago-Humid and Partly Cloudy,11
1171,Humid and Partly Cloudy-Verbal,Verbal,Chicago-Humid and Partly Cloudy,32
1172,Humid and Partly Cloudy-Kidnapping,Kidnapping,Chicago-Humid and Partly Cloudy,1
1173,Humid and Partly Cloudy-Arson,Arson,Chicago-Humid and Partly Cloudy,6
1174,Humid and Partly Cloudy-Sexual,Sexual,Chicago-Humid and Partly Cloudy,16
1175,Humid and Partly Cloudy-Interference,Interference,Chicago-Humid and Partly Cloudy,25
1176,Rain and Humid-Property,Property,Chicago-Rain and Humid,29
1177,Rain and Humid-Fraud,Fraud,Chicago-Rain and Humid,4
1178,Rain and Humid-Violence,Violence,Chicago-Rain and Humid,55
1179,Rain and Humid-Burglary,Burglary,Chicago-Rain and Humid,44
1180,Rain and Humid-B&E,B&E,Chicago-Rain and Humid,3
1181,Rain and Humid-Violation,Violation,Chicago-Rain and Humid,5
1182,Rain and Humid-Drugs,Drugs,Chicago-Rain and Humid,5
1183,Rain and Humid-Robbery,Robbery,Chicago-Rain and Humid,19
1184,Rain and Humid-Auto-Theft,Auto-Theft,Chicago-Rain and Humid,8
1185,Rain and Humid-Other,Other,Chicago-Rain and Humid,7
1186,Rain and Humid-Killing,,Chicago-Rain and Humid,0
1187,Rain and Humid-Verbal,,Chicago-Rain and Humid,0
1188,Rain and Humid-Kidnapping,,Chicago-Rain and Humid,0
1189,Rain and Humid-Arson,,Chicago-Rain and Humid,0
1190,Rain and Humid-Sexual,,Chicago-Rain and Humid,0
1191,Rain and Humid-Interference,Interference,Chicago-Rain and Humid,2
1192,Humid and Mostly Cloudy-Property,Property,Chicago-Humid and Mostly Cloudy,861
1193,Humid and Mostly Cloudy-Fraud,Fraud,Chicago-Humid and Mostly Cloudy,367
1194,Humid and Mostly Cloudy-Violence,Violence,Chicago-Humid and Mostly Cloudy,2029
1195,Humid and Mostly Cloudy-Burglary,Burglary,Chicago-Humid and Mostly Cloudy,2061
1196,Humid and Mostly Cloudy-B&E,B&E,Chicago-Humid and Mostly Cloudy,182
1197,Humid and Mostly Cloudy-Violation,Violation,Chicago-Humid and Mostly Cloudy,170
1198,Humid and Mostly Cloudy-Drugs,Drugs,Chicago-Humid and Mostly Cloudy,377
1199,Humid and Mostly Cloudy-Robbery,Robbery,Chicago-Humid and Mostly Cloudy,356
1200,Humid and Mostly Cloudy-Auto-Theft,Auto-Theft,Chicago-Humid and Mostly Cloudy,348
1201,Humid and Mostly Cloudy-Other,Other,Chicago-Humid and Mostly Cloudy,513
1202,Humid and Mostly Cloudy-Killing,Killing,Chicago-Humid and Mostly Cloudy,13
1203,Humid and Mostly Cloudy-Verbal,Verbal,Chicago-Humid and Mostly Cloudy,51
1204,Humid and Mostly Cloudy-Kidnapping,Kidnapping,Chicago-Humid and Mostly Cloudy,3
1205,Humid and Mostly Cloudy-Arson,Arson,Chicago-Humid and Mostly Cloudy,4
1206,Humid and Mostly Cloudy-Sexual,Sexual,Chicago-Humid and Mostly Cloudy,28
1207,Humid and Mostly Cloudy-Interference,Interference,Chicago-Humid and Mostly Cloudy,34
1208,Humid-Property,Property,Chicago-Humid,165
1209,Humid-Fraud,Fraud,Chicago-Humid,97
1210,Humid-Violence,Violence,Chicago-Humid,416
1211,Humid-Burglary,Burglary,Chicago-Humid,442
1212,Humid-B&E,B&E,Chicago-Humid,34
1213,Humid-Violation,Violation,Chicago-Humid,27
1214,Humid-Drugs,Drugs,Chicago-Humid,52
1215,Humid-Robbery,Robbery,Chicago-Humid,42
1216,Humid-Auto-Theft,Auto-Theft,Chicago-Humid,53
1217,Humid-Other,Other,Chicago-Humid,103
1218,Humid-Killing,Killing,Chicago-Humid,3
1219,Humid-Verbal,Verbal,Chicago-Humid,7
1220,Humid-Kidnapping,Kidnapping,Chicago-Humid,2
1221,Humid-Arson,Arson,Chicago-Humid,2
1222,Humid-Sexual,Sexual,Chicago-Humid,7
1223,Humid-Interference,Interference,Chicago-Humid,1
1224,Possible Drizzle and Humid-Property,Property,Chicago-Possible Drizzle and Humid,96
1225,Possible Drizzle and Humid-Fraud,Fraud,Chicago-Possible Drizzle and Humid,33
1226,Possible Drizzle and Humid-Violence,Violence,Chicago-Possible Drizzle and Humid,165
1227,Possible Drizzle and Humid-Burglary,Burglary,Chicago-Possible Drizzle and Humid,208
1228,Possible Drizzle and Humid-B&E,B&E,Chicago-Possible Drizzle and Humid,15
1229,Possible Drizzle and Humid-Violation,Violation,Chicago-Possible Drizzle and Humid,5
1230,Possible Drizzle and Humid-Drugs,Drugs,Chicago-Possible Drizzle and Humid,27
1231,Possible Drizzle and Humid-Robbery,Robbery,Chicago-Possible Drizzle and Humid,24
1232,Possible Drizzle and Humid-Auto-Theft,Auto-Theft,Chicago-Possible Drizzle and Humid,31
1233,Possible Drizzle and Humid-Other,Other,Chicago-Possible Drizzle and Humid,53
1234,Possible Drizzle and Humid-Killing,Killing,Chicago-Possible Drizzle and Humid,1
1235,Possible Drizzle and Humid-Verbal,Verbal,Chicago-Possible Drizzle and Humid,3
1236,Possible Drizzle and Humid-Kidnapping,Kidnapping,Chicago-Possible Drizzle and Humid,1
1237,Possible Drizzle and Humid-Arson,,Chicago-Possible Drizzle and Humid,0
1238,Possible Drizzle and Humid-Sexual,,Chicago-Possible Drizzle and Humid,0
1239,Possible Drizzle and Humid-Interference,Interference,Chicago-Possible Drizzle and Humid,3
1240,Light Rain and Humid-Property,Property,Chicago-Light Rain and Humid,33
1241,Light Rain and Humid-Fraud,Fraud,Chicago-Light Rain and Humid,13
1242,Light Rain and Humid-Violence,Violence,Chicago-Light Rain and Humid,74
1243,Light Rain and Humid-Burglary,Burglary,Chicago-Light Rain and Humid,78
1244,Light Rain and Humid-B&E,B&E,Chicago-Light Rain and Humid,8
1245,Light Rain and Humid-Violation,Violation,Chicago-Light Rain and Humid,7
1246,Light Rain and Humid-Drugs,Drugs,Chicago-Light Rain and Humid,16
1247,Light Rain and Humid-Robbery,Robbery,Chicago-Light Rain and Humid,21
1248,Light Rain and Humid-Auto-Theft,Auto-Theft,Chicago-Light Rain and Humid,11
1249,Light Rain and Humid-Other,Other,Chicago-Light Rain and Humid,18
1250,Light Rain and Humid-Killing,Killing,Chicago-Light Rain and Humid,1
1251,Light Rain and Humid-Verbal,Verbal,Chicago-Light Rain and Humid,4
1252,Light Rain and Humid-Kidnapping,,Chicago-Light Rain and Humid,0
1253,Light Rain and Humid-Arson,,Chicago-Light Rain and Humid,0
1254,Light Rain and Humid-Sexual,Sexual,Chicago-Light Rain and Humid,1
1255,Light Rain and Humid-Interference,Interference,Chicago-Light Rain and Humid,2
1256,Possible Light Rain and Humid-Property,Property,Chicago-Possible Light Rain and Humid,30
1257,Possible Light Rain and Humid-Fraud,Fraud,Chicago-Possible Light Rain and Humid,10
1258,Possible Light Rain and Humid-Violence,Violence,Chicago-Possible Light Rain and Humid,71
1259,Possible Light Rain and Humid-Burglary,Burglary,Chicago-Possible Light Rain and Humid,82
1260,Possible Light Rain and Humid-B&E,B&E,Chicago-Possible Light Rain and Humid,6
1261,Possible Light Rain and Humid-Violation,Violation,Chicago-Possible Light Rain and Humid,2
1262,Possible Light Rain and Humid-Drugs,Drugs,Chicago-Possible Light Rain and Humid,8
1263,Possible Light Rain and Humid-Robbery,Robbery,Chicago-Possible Light Rain and Humid,5
1264,Possible Light Rain and Humid-Auto-Theft,Auto-Theft,Chicago-Possible Light Rain and Humid,6
1265,Possible Light Rain and Humid-Other,Other,Chicago-Possible Light Rain and Humid,23
1266,Possible Light Rain and Humid-Killing,Killing,Chicago-Possible Light Rain and Humid,1
1267,Possible Light Rain and Humid-Verbal,Verbal,Chicago-Possible Light Rain and Humid,1
1268,Possible Light Rain and Humid-Kidnapping,,Chicago-Possible Light Rain and Humid,0
1269,Possible Light Rain and Humid-Arson,,Chicago-Possible Light Rain and Humid,0
1270,Possible Light Rain and Humid-Sexual,,Chicago-Possible Light Rain and Humid,0
1271,Possible Light Rain and Humid-Interference,Interference,Chicago-Possible Light Rain and Humid,1
1272,Humid and Overcast-Property,Property,Chicago-Humid and Overcast,110
1273,Humid and Overcast-Fraud,Fraud,Chicago-Humid and Overcast,42
1274,Humid and Overcast-Violence,Violence,Chicago-Humid and Overcast,188
1275,Humid and Overcast-Burglary,Burglary,Chicago-Humid and Overcast,244
1276,Humid and Overcast-B&E,B&E,Chicago-Humid and Overcast,18
1277,Humid and Overcast-Violation,Violation,Chicago-Humid and Overcast,17
1278,Humid and Overcast-Drugs,Drugs,Chicago-Humid and Overcast,31
1279,Humid and Overcast-Robbery,Robbery,Chicago-Humid and Overcast,51
1280,Humid and Overcast-Auto-Theft,Auto-Theft,Chicago-Humid and Overcast,31
1281,Humid and Overcast-Other,Other,Chicago-Humid and Overcast,42
1282,Humid and Overcast-Killing,Killing,Chicago-Humid and Overcast,2
1283,Humid and Overcast-Verbal,Verbal,Chicago-Humid and Overcast,3
1284,Humid and Overcast-Kidnapping,,Chicago-Humid and Overcast,0
1285,Humid and Overcast-Arson,Arson,Chicago-Humid and Overcast,1
1286,Humid and Overcast-Sexual,Sexual,Chicago-Humid and Overcast,4
1287,Humid and Overcast-Interference,Interference,Chicago-Humid and Overcast,1
1288,Drizzle and Humid-Property,Property,Chicago-Drizzle and Humid,6
1289,Drizzle and Humid-Fraud,Fraud,Chicago-Drizzle and Humid,1
1290,Drizzle and Humid-Violence,Violence,Chicago-Drizzle and Humid,7
1291,Drizzle and Humid-Burglary,Burglary,Chicago-Drizzle and Humid,7
1292,Drizzle and Humid-B&E,B&E,Chicago-Drizzle and Humid,2
1293,Drizzle and Humid-Violation,,Chicago-Drizzle and Humid,0
1294,Drizzle and Humid-Drugs,Drugs,Chicago-Drizzle and Humid,1
1295,Drizzle and Humid-Robbery,Robbery,Chicago-Drizzle and Humid,3
1296,Drizzle and Humid-Auto-Theft,Auto-Theft,Chicago-Drizzle and Humid,1
1297,Drizzle and Humid-Other,,Chicago-Drizzle and Humid,0
1298,Drizzle and Humid-Killing,,Chicago-Drizzle and Humid,0
1299,Drizzle and Humid-Verbal,Verbal,Chicago-Drizzle and Humid,1
1300,Drizzle and Humid-Kidnapping,,Chicago-Drizzle and Humid,0
